#Treatment	Dose	Effect
5Z-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.25516973076501|0.597244805330833|0.609368193894414|0.826139435594083|0.890779773958323
AK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.730622944568896|0.870025260950384|0.940101361549338|0.979889741512162|1.00169995074909
AK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.556255659882751|0.731264795132104|0.880415614127067|0.864769712279364|0.971018222836535
BI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.991722233751703|1.04234527687296|0.996334828155594|1.08608912990517|1.07918828444332
BI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.848912268670992|0.975949903904283|0.851482039575194|0.851027276746641|0.934855224809839
CT-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.828029083316792|1.043977856686|1.02531189578233|1.00550642170809|1.06778265440403
CT-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.694485491424244|1.02951706696662|0.922535159495085|0.96949045382031|0.873484631275593
PD-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.770279960332596|0.770897856434511|0.803600579754367|0.844198642154245|0.826264398504844
PD-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.665756350598825|0.746769395072088|0.800282248836677|0.799504157449081|0.821321229689526
PI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.334500097399435|0.441609038667576|0.589905766046557|0.942625645271257|1.05132950228889
PI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.38281021720074|0.374835638453297|0.554507158858479|0.996164897243596|0.926664312846985
PK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000765818249448884|0.00131283128476952|0.00250531970176849|0.82816679521473|1.04384309478095
PK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00083145981368736|0.00150975597748494|0.00230839500905307|0.525460721728999|0.953695346560109
JN-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.188320526596787|0.768679926200758|1.00996830417182|1.0139312964202|0.964731801931486
JN-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0961066169265184|0.716414924747751|0.92358804884807|0.96208800491995|0.915299826314971
D1-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.449615193780492|0.529378158784022|1.11419596082599|1.16844604652109|1.05669024390626
D1-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.262741961486509|0.416057148849651|0.985924090575417|1.0498033317003|1.05051080540873
60-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.06765441172915|1.13323114169338|1.16406916149664|1.07350222355469|1.09889861912338
60-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.83999593812409|1.07770594275012|0.957796786927207|0.974205476117943|0.96345117609038
SB-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.98388944641746|1.13207534088683|1.09454009092627|1.1191591660297|1.20522540042395
SB-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.976256215865819|1.02844089012758|1.00305225227099|1.06708541973235|1.09347240926872
RU-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.588024739456511|0.899392471023668|0.985633583325217|1.03516119606506|0.927413071004188
