#Treatment	Dose	Effect
PK-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000118792054508583|0.00127277201259196|0.0693066786590074|1.00978337420346|1.08467327942437
PK-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000424257337530653|0.00208734610065081|0.0657429170237499|0.995969555293459|1.03885348697106
JN-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000905816452532227|0.450019868143888|1.0560794383938|1.17062249244797|1.02584567793098
JN-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00121345222886393|0.43438171618036|1.05255871784245|0.962062526971539|1.04589327602193
JN-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00183491643975708|0.398244203810398|1.12934898343104|1.04342775858223|1.04265339017646
JN-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00126255718331909|0.45608615690219|1.0658339400622|1.00211688754403|1.00752063228864
D1-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00179215293038339|0.667653773121973|0.802747967826588|0.815890422649399|0.942211602056709
D1-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.001007019265644|0.586016940112223|0.70501589468968|0.839137206374944|0.92666254187024
D1-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00606346924103933|0.550050323508267|0.653720858580672|0.843594536304817|0.966079901407004
D1-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000870904796138441|0.526272979357091|0.757062750333778|0.790387182910547|0.884444900893499
60-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0661564365528853|0.578065207408541|0.751216898821368|0.843425684983928|0.963110362773611
60-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00368896372263891|0.51686820756161|0.802556252870044|0.825149242308281|1.00036736568192
60-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0960928658666398|0.549710354409672|0.756865777000908|0.846340306490228|0.951516577588042
60-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00826171561322323|0.525597499075599|0.773284629548706|0.856947572467422|0.930122767898828
SB-SF	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.299793845918913|0.58941742383752|0.800626097579598|0.887317706344965|0.956264793464152
